county,type,cultivar,X2012_and_earlier,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,bearing,nonbearing,total,X2019_total
Alameda,raisin,BLACK CORINTH ,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,raisin,DOVINE,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,raisin,FIESTA,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,raisin,OTHER RAISIN,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,raisin,SELMA PETE,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,raisin,SULTANA,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,raisin,THOMPSON SEEDLESS,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,raisin,TOTAL RAISIN,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,AGLIANICO,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,ALICANTE BOUSCHET ,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,BARBERA,35,0,2,0,0,0,0,0,0,37,0,37,37
Alameda,red wine,CABERNET FRANC,24,0,0,0,1,5,0,0,0,30,0,30,30
Alameda,red wine,CABERNET SAUVIGNON,930,0,2,12,2,3,0,0,0,949,0,949,974
Alameda,red wine,CARIGNANE,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,CARMENERE,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,CARNELIAN,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,CENTURIAN,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,CHARBONO,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,CINSAUT,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,COUNOISE,7,0,0,0,0,0,0,0,0,7,0,7,7
Alameda,red wine,DOLCETTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,DORNFELDER,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,GAMAY  (NAPA) ,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,GRACIANO,0,0,1,0,0,0,0,0,0,1,0,1,1
Alameda,red wine,GRENACHE ,11,0,1,0,0,0,0,0,0,11,0,11,11
Alameda,red wine,LAGREIN,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,MALBEC,14,0,0,0,1,0,0,0,0,15,0,15,15
Alameda,red wine,MERLOT,330,0,1,1,0,0,0,0,0,332,0,332,333
Alameda,red wine,MEUNIER ,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,MISSION,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,MONTEPULCIANO,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,MOURVEDRE ,10,0,0,0,1,0,0,0,0,11,0,11,10
Alameda,red wine,MUSCAT HAMBURG ,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,NEBBIOLO,14,0,0,0,0,0,0,0,0,14,0,14,14
Alameda,red wine,OTHER RED WINE,0,0,0,0,0,0,0,0,0,0,0,0,1
Alameda,red wine,PETIT VERDOT,75,0,0,1,1,0,0,0,0,76,0,76,76
Alameda,red wine,PETITE SIRAH,273,0,0,0,0,0,0,2,0,273,2,275,275
Alameda,red wine,PINOT NOIR,36,0,0,0,0,0,0,0,0,36,0,36,36
Alameda,red wine,PRIMITIVO,5,0,0,0,0,0,0,0,0,5,0,5,5
Alameda,red wine,ROYALTY,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,RUBIRED,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,RUBY CABERNET,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,SANGIOVESE ,17,0,1,0,0,0,0,0,0,18,0,18,18
Alameda,red wine,SOUZAO,1,0,0,0,0,0,0,0,0,1,0,1,1
Alameda,red wine,SYRAH ,165,0,0,0,0,0,0,0,0,165,0,165,165
Alameda,red wine,TANNAT,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,TEMPRANILLO ,31,0,0,0,2,0,0,0,0,33,0,33,33
Alameda,red wine,TEROLDEGO,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,TOTAL RED WINE,2116,0,7,15,7,8,0,3,0,2152,3,2155,2182
Alameda,red wine,TOURIGA FRANCESCA,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,red wine,TOURIGA NACIONAL,8,0,0,0,0,0,0,0,0,8,0,8,8
Alameda,red wine,ZINFANDEL,131,0,0,1,0,0,0,1,0,132,1,133,134
Alameda,table,ADORA SEEDLESS,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,ALLISON,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,ARRA MYSTIC DREAM,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,ARRA MYSTIC STAR,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,ARRA PASSION FIRE,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,ARRA PASSION PUNCH,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,ARRA SUGAR DROP,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,ARRA SWEETIES,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,AUTUMN CRISP,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,AUTUMN KING,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,AUTUMN ROYAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,BEAUTY SEEDLESS ,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,BLACK IVORY,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,BLANC SEEDLESS,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,CALMERIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,CANDY HEARTS,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,CANDY SNAPS,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,CASTLEROCK RED,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,CHRISTMAS ROSE,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,COTTON CANDY,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,table,CRIMSON SEEDLESS,0,0,0,0,0,0,0,0,0,0,0,0,0
